timestamp,p_G_I_x,p_G_I_y,p_G_I_z,q_I_G_w,q_I_G_x,q_I_G_y,q_I_G_z,p_C_I_x,p_C_I_y,p_C_I_z,q_I_C_w,q_I_C_x,q_I_C_y,q_I_C_z,sun_az,sun_el
0.0,-6655408.382301749,0.08778039761852265,-0.07727689091630917,-0.05561689584143263,0.7118421815462443,-0.12575345461305024,0.6887478044402976,-6655454.899458681,0.9829253919326062,0.7089043679313594,-0.4114214615739424,-0.5688480680037827,0.40131872465925994,0.588292051383146,344.22,-4.748
0.1,-6655408.337360505,-639.8192933109534,-461.5898696420874,-0.056301721819520416,0.7129493786514816,-0.12892669196843262,0.6869579373576672,-6655454.854539397,-638.9163792481983,-460.808594556243,-0.4110195364978838,-0.5691230051764007,0.40105761053948885,0.5884851218360607,344.22,-4.748
0.2,-6655408.202421545,-1279.7263631485996,-923.1024519477646,-0.05698280453575431,0.7140428466055898,-0.13210134148110209,0.6851605715286888,-6655454.719632594,-1278.8156752511543,-922.326087250988,-0.4106172472714016,-0.5693978687748429,0.40079665250288593,0.5886778292227458,344.22,-4.748
0.30000000000000004,-6655407.977484868,-1919.633420515953,-1384.6150176357878,-0.057660118076597294,0.7151225703153912,-0.13527734721162324,0.6833557342558025,-6655454.494738272,-1918.714953966482,-1383.8435674772977,-0.4102145983738645,-0.5696726517701028,0.4005358547050471,0.588870174316789,344.22,-4.748
0.4,-6655407.6625504745,-2559.540456813381,-1846.1275605342462,-0.058333636592748116,0.7161885349496268,-0.13845465315896469,0.6815434529560117,-6655454.179856436,-2558.6142067437263,-1845.3610289961646,-0.40981159431002956,-0.5699473471309852,0.40027522130305593,0.5890621579054403,344.22,-4.748
0.5,-6655407.257618364,-3199.447463440982,-2307.6400744714742,-0.059003334299795526,0.7172407259393772,-0.1416332032614559,0.6797237551604042,-6655453.774987091,-3198.5134249324324,-2306.8784655685827,-0.4094082396095385,-0.5702219478251939,0.4000147564555659,0.5892537807889356,344.22,-4.748
0.6000000000000001,-6655406.76268854,-3839.354431798584,-2769.152553276049,-0.059669185478872525,0.718279128978479,-0.14481294139774667,0.6778966685136742,-6655453.280130242,-3838.412599882154,-2768.395870955549,-0.40900453882775384,-0.5704964468177334,0.39975446432148637,0.5894450437824368,344.22,-4.748
0.7000000000000001,-6655406.177761009,-4479.261353285736,-3230.664990776779,-0.06033116447731012,0.719303730023935,-0.1479938113877694,0.6760622207736409,-6655452.695285898,-4478.311722942431,-3229.913238918055,-0.40860049654484326,-0.5707708370724619,0.3994943490604847,0.5896359477148999,344.22,-4.748
0.8,-6655405.502835775,-5119.168219301717,-3692.177380802715,-0.06098924570929146,0.7203145152963206,-0.15117575699370356,0.6742204398107633,-6655452.020454065,-5118.210785462816,-3691.430563217097,-0.4081961173653565,-0.5710451115532418,0.3992344148329736,0.589826493428336,344.22,-4.748
0.9,-6655404.7379128495,-5759.075021245515,-4153.689717183129,-0.06164340365650543,0.7213114712801836,-0.15435872192094363,0.6723713536076554,-6655451.255634756,-5758.109778792858,-4152.947837613672,-0.4077914059184222,-0.5713192632235272,0.39897466579945057,0.590016681778591,344.22,-4.748
1.0,-6655403.882992243,-6398.981750515844,-4615.201993747521,-0.06229361286880024,0.7222945847244405,-0.1575426498190688,0.6705149902585968,-6655450.400827981,-6398.00869428211,-4614.465055868779,-0.4073863668574908,-0.5715932850465614,0.39871510612030403,0.5902065136355314,344.22,-4.748
1.1,-6655402.9380739685,-7038.888398511127,-5076.7142043256135,-0.06293984796483684,0.7232638426427673,-0.1607274842828157,0.668651377969042,-6655449.456033752,-7037.907523280125,-5075.982211743414,-0.40698100485959143,-0.5718671699872502,0.39845573995612316,0.5903959898815957,344.22,-4.748
1.2000000000000002,-6655401.903158039,-7678.794956629499,-5538.226342747345,-0.06358208363274208,0.7242192323139841,-0.16391316885305365,0.6667805450551273,-6655448.421252088,-7677.806257136455,-5537.4992989985785,-0.4065753246251354,-0.5721409110122915,0.3981965714674349,0.5905851114120392,344.22,-4.748
1.3,-6655400.778244473,-8318.701416268792,-5999.738402842861,-0.06422029463076155,0.7251607412824359,-0.16709964701776267,0.6649025199431758,-6655447.296482999,-8317.704887200654,-5999.016311395269,-0.4061693308788087,-0.5724145010884399,0.3979376048133058,0.5907738791370032,344.22,-4.748
1.4000000000000001,-6655399.563333287,-8958.607768826567,-6461.250378442533,-0.06485445578791245,0.7260883573583675,-0.1702868622130136,0.663017331169199,-6655446.0817265045,-8957.603404822286,-6460.533242694492,-0.40576302836755745,-0.5726879331864344,0.39767884415296073,0.5909622939780541,344.22,-4.748
1.5,-6655398.258424505,-9598.51400570006,-6922.762263376912,-0.06548454200463585,0.7270020686182939,-0.17347475782395097,0.6611250073783974,-6655444.776982623,-9597.501801350907,-6922.050086657251,-0.40535642186175747,-0.5729612002787722,0.3974202936440908,0.5911503568707257,344.22,-4.748
1.6,-6655396.863518144,-10238.420118286218,-7384.274051476769,-0.06611052825344893,0.7279018634053639,-0.17666327718577907,0.6592255773246586,-6655443.382251374,-10237.400068136081,-7383.566837044551,-0.4049495161537575,-0.5732342953427423,0.39716195744388777,0.591338068761928,344.22,-4.748
1.7000000000000002,-6655395.378614233,-10878.32609798169,-7845.785736573067,-0.06673238957959682,0.7287877303297212,-0.1798523635847491,0.6573190698700514,-6655441.897532779,-10877.298196527374,-7845.083487617398,-0.4045423160589094,-0.5735072113576197,0.39690383970748555,0.5915254306130502,344.22,-4.748
1.8,-6655393.803712795,-11518.231936182801,-8307.297312496954,-0.06735010110170404,0.7296596582688574,-0.1830419602591502,0.655405513984321,-6655440.322826859,-11517.196177874343,-8306.600032136796,-0.40413482641399384,-0.5737799413085889,0.39664594458911234,0.591712443396498,344.22,-4.748
1.9000000000000001,-6655392.138813859,-12158.13762428559,-8768.808773079774,-0.06796363801242573,0.7305176363679611,-0.18623201040030227,0.6534849387443791,-6655438.658133639,-12157.09400352657,-8768.116464363764,-0.4037270520779743,-0.5740524781848808,0.3963882762408155,0.5918991080978753,344.22,-4.748
2.0,-6655390.3839174565,-12798.043153685761,-9230.320112153055,-0.06857297557909854,0.7313616540402622,-0.18942245715355138,0.6515573733337924,-6655436.903453142,-12796.991664833622,-9229.632778059311,-0.40331899793146586,-0.5743248149804482,0.39613083881251737,0.5920854257156845,344.22,-4.748
2.1,-6655388.539023618,-13437.948515778717,-9691.831323548498,-0.06917808914439076,0.73219170096737,-0.19261324361926782,0.6496228470422699,-6655435.0587853985,-13436.889153145079,-9691.148966984452,-0.4029106688757637,-0.5745969446966697,0.3958736364525319,0.5922713972590482,344.22,-4.748
2.2,-6655386.604132377,-14077.853701959533,-10153.342401097983,-0.0697789541269526,0.733007767099606,-0.1958043128538463,0.6476813892651472,-6655433.124130433,-14076.786459810515,-10152.665024900207,-0.4025020698333243,-0.5748688603405184,0.39561667330656086,0.5924570237498522,344.22,-4.748
2.3000000000000003,-6655384.579243769,-14717.758703622976,-10614.85333863357,-0.07037554602206575,0.7338098426563322,-0.19899560787070866,0.6457330295028683,-6655431.099488278,-14716.683576179512,-10614.180945567587,-0.402093205747478,-0.5751405549253789,0.3953599535174909,0.5926423062223038,344.22,-4.748
2.4000000000000004,-6655382.464357832,-15357.663512163479,-11076.364129987463,-0.07096784040229237,0.7345979181262727,-0.20218707164130942,0.6437777973604655,-6655428.98485896,-15356.58049360165,-11075.69672274762,-0.40168408158183355,-0.5754120214720144,0.3951034812255036,0.5928272457223414,344.22,-4.748
2.5,-6655380.259474606,-15997.568118975143,-11537.874768992047,-0.07155581291812388,0.7353719842678313,-0.20537864709614284,0.6418157225470381,-6655426.780242513,-15996.477203426532,-11537.212350201333,-0.4012747023202205,-0.5756832530094191,0.39484726056763253,0.5930118433071533,344.22,-4.748
2.6,-6655377.964594132,-16637.472515451766,-11999.385249479872,-0.07213943929862927,0.7361320321094029,-0.20857027712575354,0.6398468348752273,-6655424.4856389705,-16636.373697003746,-11998.727821689748,-0.40086507296608365,-0.5759542425746556,0.394591295677872,0.5931961000456841,344.22,-4.748
2.7,-6655375.579716453,-17277.37669298679,-12460.895565283625,-0.0727186953521024,0.7368780529496796,-0.2117619045817481,0.6378711642606897,-6655422.101048366,-17276.269965682888,-12460.243130973904,-0.4004551985424555,-0.5762249832136894,0.3943355906866955,0.5933800170181676,344.22,-4.748
2.8000000000000003,-6655373.104841615,-17917.280642973332,-12922.405710236148,-0.07329355696670962,0.737610038357951,-0.21495347227781045,0.6358887407215684,-6655419.626470737,-17916.166000813555,-12921.758271814828,-0.40004508409174033,-0.5764954679815564,0.3940801497207611,0.5935635953163075,344.22,-4.748
